industry,return_type,statistic,observations,bootstrap_samples,confidence_level,estimate,ci_lower,ci_upper,ci_width,method,random_seed
NoDur,simple,mean,1201,10000,0.95,0.0094266445,0.0068944858,0.0120046461,0.0051101603,percentile bootstrap,42
NoDur,simple,median,1201,10000,0.95,0.0104,0.008,0.0127,0.0047,percentile bootstrap,42
Durbl,simple,mean,1201,10000,0.95,0.0116555371,0.007103239,0.0162946878,0.0091914488,percentile bootstrap,42
Durbl,simple,median,1201,10000,0.95,0.0098,0.006,0.0137,0.0077,percentile bootstrap,42
Manuf,simple,mean,1201,10000,0.95,0.0102869276,0.0068245087,0.0137280641,0.0069035554,percentile bootstrap,42
Manuf,simple,median,1201,10000,0.95,0.0136,0.01,0.0163,0.0063,percentile bootstrap,42
Enrgy,simple,mean,1201,10000,0.95,0.0104050791,0.0067318027,0.014098343,0.0073665404,percentile bootstrap,42
Enrgy,simple,median,1201,10000,0.95,0.0091,0.0061,0.0125,0.0064,percentile bootstrap,42
HiTec,simple,mean,1201,10000,0.95,0.0116795171,0.0075995629,0.0156878705,0.0080883077,percentile bootstrap,42
HiTec,simple,median,1201,10000,0.95,0.0134,0.0087,0.0179,0.0092,percentile bootstrap,42
Telcm,simple,mean,1201,10000,0.95,0.008140383,0.0055417735,0.0106850354,0.0051432619,percentile bootstrap,42
Telcm,simple,median,1201,10000,0.95,0.0091,0.0073,0.0113,0.004,percentile bootstrap,42
Shops,simple,mean,1201,10000,0.95,0.0103826811,0.0071275125,0.0135666674,0.0064391549,percentile bootstrap,42
Shops,simple,median,1201,10000,0.95,0.0115,0.0084,0.0141,0.0057,percentile bootstrap,42
Hlth,simple,mean,1201,10000,0.95,0.0106771857,0.0075640029,0.0137958764,0.0062318734,percentile bootstrap,42
Hlth,simple,median,1201,10000,0.95,0.0109,0.0082,0.0146,0.0064,percentile bootstrap,42
Utils,simple,mean,1201,10000,0.95,0.0088519567,0.0058471274,0.0119392798,0.0060921524,percentile bootstrap,42
Utils,simple,median,1201,10000,0.95,0.0106,0.0084,0.0134,0.005,percentile bootstrap,42
Other,simple,mean,1201,10000,0.95,0.0092575354,0.0056888884,0.0128974376,0.0072085491,percentile bootstrap,42
Other,simple,median,1201,10000,0.95,0.0126,0.0094,0.0151,0.0057,percentile bootstrap,42
NoDur,log,mean,1201,10000,0.95,0.0083526294,0.0057675558,0.0109254544,0.0051578985,percentile bootstrap,42
NoDur,log,median,1201,10000,0.95,0.0103462921,0.0080673711,0.0125212806,0.0044539095,percentile bootstrap,42
Durbl,log,mean,1201,10000,0.95,0.0083465823,0.0037852509,0.0128936966,0.0091084457,percentile bootstrap,42
Durbl,log,median,1201,10000,0.95,0.0097522914,0.0059820717,0.0136070034,0.0076249317,percentile bootstrap,42
Manuf,log,mean,1201,10000,0.95,0.0083668331,0.0048966216,0.0117093845,0.0068127629,percentile bootstrap,42
Manuf,log,median,1201,10000,0.95,0.01350835,0.0099503309,0.0161685812,0.0062182503,percentile bootstrap,42
Enrgy,log,mean,1201,10000,0.95,0.0083251571,0.0047515933,0.0118802011,0.0071286078,percentile bootstrap,42
Enrgy,log,median,1201,10000,0.95,0.0090588445,0.0060814703,0.0127187724,0.0066373021,percentile bootstrap,42
HiTec,log,mean,1201,10000,0.95,0.0090984046,0.0050064523,0.0131614649,0.0081550126,percentile bootstrap,42
HiTec,log,median,1201,10000,0.95,0.0133110141,0.0086623731,0.0177416815,0.0090793084,percentile bootstrap,42
Telcm,log,mean,1201,10000,0.95,0.007031942,0.0043910799,0.0096473054,0.0052562255,percentile bootstrap,42
Telcm,log,median,1201,10000,0.95,0.0090588445,0.007273484,0.0112366319,0.0039631479,percentile bootstrap,42
Shops,log,mean,1201,10000,0.95,0.0086697732,0.005372127,0.0119238346,0.0065517076,percentile bootstrap,42
Shops,log,median,1201,10000,0.95,0.0114343776,0.0083649163,0.0140015196,0.0056366033,percentile bootstrap,42
Hlth,log,mean,1201,10000,0.95,0.0091248456,0.0060314045,0.012151073,0.0061196685,percentile bootstrap,42
Hlth,log,median,1201,10000,0.95,0.0108410232,0.0081665627,0.0143958803,0.0062293176,percentile bootstrap,42
Utils,log,mean,1201,10000,0.95,0.0073475367,0.0043001889,0.0104241483,0.0061239594,percentile bootstrap,42
Utils,log,median,1201,10000,0.95,0.0105442139,0.0083649163,0.0133110141,0.0049460978,percentile bootstrap,42
Other,log,mean,1201,10000,0.95,0.0072476487,0.0036563023,0.0107200836,0.0070637813,percentile bootstrap,42
Other,log,median,1201,10000,0.95,0.0125212806,0.009653257,0.0149871298,0.0053338728,percentile bootstrap,42
NoDur,excess_simple,mean,1201,10000,0.95,0.0067246461,0.0041976457,0.0092780308,0.0050803851,percentile bootstrap,42
NoDur,excess_simple,median,1201,10000,0.95,0.008,0.0057,0.0099,0.0042,percentile bootstrap,42
Durbl,excess_simple,mean,1201,10000,0.95,0.0089535387,0.0043298002,0.0136040654,0.0092742652,percentile bootstrap,42
Durbl,excess_simple,median,1201,10000,0.95,0.0071,0.0032,0.0109,0.0077,percentile bootstrap,42
Manuf,excess_simple,mean,1201,10000,0.95,0.0075849292,0.0040395837,0.0111104351,0.0070708514,percentile bootstrap,42
Manuf,excess_simple,median,1201,10000,0.95,0.0112,0.0079,0.014,0.0061,percentile bootstrap,42
Enrgy,excess_simple,mean,1201,10000,0.95,0.0077030808,0.0041008222,0.0113449292,0.007244107,percentile bootstrap,42
Enrgy,excess_simple,median,1201,10000,0.95,0.0068,0.0036,0.01,0.0064,percentile bootstrap,42
HiTec,excess_simple,mean,1201,10000,0.95,0.0089775187,0.0048606744,0.0130276145,0.00816694,percentile bootstrap,42
HiTec,excess_simple,median,1201,10000,0.95,0.0105,0.0066,0.0151,0.0085,percentile bootstrap,42
Telcm,excess_simple,mean,1201,10000,0.95,0.0054383847,0.0028062989,0.0080776769,0.005271378,percentile bootstrap,42
Telcm,excess_simple,median,1201,10000,0.95,0.0071,0.0049,0.0087,0.0038,percentile bootstrap,42
