date,RF_simple,RF_log,NoDur_simple,NoDur_log,NoDur_excess_simple,NoDur_excess_log,Durbl_simple,Durbl_log,Durbl_excess_simple,Durbl_excess_log,Manuf_simple,Manuf_log,Manuf_excess_simple,Manuf_excess_log,Enrgy_simple,Enrgy_log,Enrgy_excess_simple,Enrgy_excess_log,HiTec_simple,HiTec_log,HiTec_excess_simple,HiTec_excess_log,Telcm_simple,Telcm_log,Telcm_excess_simple,Telcm_excess_log,Shops_simple,Shops_log,Shops_excess_simple,Shops_excess_log,Hlth_simple,Hlth_log,Hlth_excess_simple,Hlth_excess_log,Utils_simple,Utils_log,Utils_excess_simple,Utils_excess_log,Other_simple,Other_log,Other_excess_simple,Other_excess_log
1926-07-01,0.0022,0.0021975835,0.0144,0.0142973047,0.0122,0.0120997212,0.1558,0.1447927449,0.1536,0.1425951614,0.047,0.0459289319,0.0448,0.0437313483,-0.0114,-0.0114654781,-0.0136,-0.0136630617,0.029,0.0285874569,0.0268,0.0263898733,0.0083,0.0082657444,0.0061,0.0060681609,0.0012,0.0011992806,-0.001,-0.000998303,0.0185,0.0183309567,0.0163,0.0161333731,0.0704,0.0680324104,0.0682,0.0658348268,0.0214,0.0211742352,0.0192,0.0189766517
1926-08-01,0.0025,0.0024968802,0.0399,0.0391245547,0.0374,0.0366276745,0.037,0.0363319292,0.0345,0.033835049,0.028,0.027615167,0.0255,0.0251182868,0.0343,0.0337248694,0.0318,0.0312279892,0.0266,0.0262523711,0.0241,0.0237554909,0.0217,0.0214679066,0.0192,0.0189710264,-0.0072,-0.0072260451,-0.0097,-0.0097229253,0.0417,0.040853994,0.0392,0.0383571138,-0.017,-0.0171461588,-0.0195,-0.019643039,0.0435,0.0425804475,0.041,0.0400835673
1926-09-01,0.0023,0.002297359,0.0115,0.0114343776,0.0092,0.0091370186,0.0498,0.0485996698,0.0475,0.0463023108,0.0117,0.0116320842,0.0094,0.0093347252,-0.033,-0.0335567835,-0.0353,-0.0358541426,-0.0039,-0.0039076248,-0.0062,-0.0062049839,0.0242,0.02391182,0.0219,0.021614461,0.0021,0.0020977981,-0.0002,-0.000199561,0.0069,0.0068763039,0.0046,0.0045789449,0.0205,0.0202927033,0.0182,0.0179953442,0.0031,0.0030952049,0.0008,0.0007978459
1926-10-01,0.0032,0.0031948909,-0.0124,-0.0124775215,-0.0156,-0.0156724124,-0.0839,-0.08762975,-0.0871,-0.0908246409,-0.0365,-0.0371827911,-0.0397,-0.040377682,-0.0078,-0.0078305791,-0.011,-0.01102547,-0.0458,-0.0468819859,-0.049,-0.0500768768,-0.0011,-0.0011006054,-0.0043,-0.0042954963,-0.0229,-0.023166278,-0.0261,-0.0263611689,-0.0057,-0.005716307,-0.0089,-0.0089111979,-0.0327,-0.0332465938,-0.0359,-0.0364414847,-0.0285,-0.0289140102,-0.0317,-0.0321089011
1926-11-01,0.0031,0.0030952049,0.0521,0.0507881668,0.049,0.0476929619,-0.0017,-0.0017014466,-0.0048,-0.0047966515,0.0427,0.0418135028,0.0396,0.0387182979,0.0001,9.9995e-05,-0.003,-0.0029952099,0.0471,0.0460244383,0.044,0.0429292334,0.0163,0.0161685812,0.0132,0.0130733763,0.0645,0.0625052054,0.0614,0.0594100004,0.0543,0.0528770396,0.0512,0.0497818347,0.044,0.0430594895,0.0409,0.0399642846,0.0213,0.0210763256,0.0182,0.0179811207
1926-12-01,0.0028,0.0027960873,0.008,0.0079681696,0.0052,0.0051720823,0.099,0.0944006754,0.0962,0.0916045881,0.0363,0.0356566772,0.0335,0.0328605899,0.0282,0.0278097006,0.0254,0.0250136133,-0.0004,-0.00040008,-0.0032,-0.0031961673,0.0199,0.0197045833,0.0171,0.016908496,0.0062,0.0061808591,0.0034,0.0033847718,0.0009,0.0008995952,-0.0019,-0.0018964921,-0.0018,-0.0018016219,-0.0046,-0.0045977092,0.0346,0.0340148786,0.0318,0.0312187913
1927-01-01,0.0025,0.0024968802,-0.0065,-0.006521217,-0.009,-0.0090180972,-0.0092,-0.0092425814,-0.0117,-0.0117394616,-0.0007,-0.0007002451,-0.0032,-0.0031971253,0.0128,0.0127187724,0.0103,0.0102218922,-0.0113,-0.0113643301,-0.0138,-0.0138612103,0.0188,0.0186254641,0.0163,0.0161285839,-0.0254,-0.0257281486,-0.0279,-0.0282250288,0.0507,0.0494566087,0.0482,0.0469597285,-0.0179,-0.0180621428,-0.0204,-0.020559023,0.015,0.0148886125,0.0125,0.0123917323
1927-02-01,0.0026,0.0025966258,0.0336,0.033047854,0.031,0.0304512282,0.0896,0.0858106564,0.087,0.0832140306,0.0581,0.0564748469,0.0555,0.0538782211,0.0147,0.0145930023,0.0121,0.0119963765,0.0445,0.043538302,0.0419,0.0409416762,0.0397,0.03893221,0.0371,0.0363355842,0.0362,0.0355601754,0.0336,0.0329635496,0.0171,0.0169554406,0.0145,0.0143588148,0.0454,0.0443995873,0.0428,0.0418029614,0.0507,0.0494566087,0.0481,0.0468599829
1927-03-01,0.003,0.002995509,0.0277,0.0273232956,0.0247,0.0243277867,0.0162,0.0160701802,0.0132,0.0130746712,0.0145,0.0143958803,0.0115,0.0114003713,-0.0604,-0.0623010262,-0.0634,-0.0652965352,0.0147,0.0145930023,0.0117,0.0115974933,0.0562,0.0546775613,0.0532,0.0516820523,-0.0046,-0.0046106126,-0.0076,-0.0076061215,0.0101,0.0100493359,0.0071,0.0070538269,0.0037,0.0036931718,0.0007,0.0006976629,0.0117,0.0116320842,0.0087,0.0086365752
1927-04-01,0.0025,0.0024968802,0.0351,0.0344980404,0.0326,0.0320011602,0.0314,0.0309171026,0.0289,0.0284202224,0.0076,0.0075712655,0.0051,0.0050743853,-0.0517,-0.0530843711,-0.0542,-0.0555812513,0.054,0.0525924501,0.0515,0.0500955699,-0.0207,-0.0209172483,-0.0232,-0.0234141285,0.0448,0.0438254795,0.0423,0.0413285993,0.0274,0.0270313391,0.0249,0.0245344589,0.0171,0.0169554406,0.0146,0.0144585605,0.0086,0.0085632307,0.0061,0.0060663505
