industry,return_type,observations,mean_monthly,median_monthly,volatility_monthly,mean_annualized,volatility_annualized,skewness,excess_kurtosis,min_monthly,max_monthly
NoDur,simple,1201,0.0094266445,0.0104,0.0455847479,0.1191728559,0.1579101988,-0.0721802601,5.5552188806,-0.2497,0.3424
Durbl,simple,1201,0.0116555371,0.0098,0.0823633183,0.1491903078,0.285314904,1.0520994578,10.7683144208,-0.3486,0.7979
Manuf,simple,1201,0.0102869276,0.0136,0.0620751535,0.1306724299,0.2150346396,0.8033409696,11.6732421232,-0.3002,0.5808
Enrgy,simple,1201,0.0104050791,0.0091,0.0641870349,0.1322602162,0.2223504113,0.2265288328,4.183050248,-0.3447,0.3936
HiTec,simple,1201,0.0116795171,0.0134,0.0713983075,0.1495172317,0.2473309923,0.2154542651,5.7026246723,-0.3396,0.5181
Telcm,simple,1201,0.008140383,0.0091,0.046600112,0.102179018,0.1614275234,-0.0458599552,2.7294685998,-0.217,0.2817
Shops,simple,1201,0.0103826811,0.0115,0.0577949624,0.1319590625,0.2002076227,-0.0120122203,5.9083234761,-0.304,0.4245
Hlth,simple,1201,0.0106771857,0.0109,0.054982708,0.1359247133,0.1904656876,0.0800439294,6.6110420119,-0.3477,0.3714
Utils,simple,1201,0.0088519567,0.0106,0.0543350614,0.1115507293,0.188222174,0.1030285455,7.471375997,-0.2972,0.4355
Other,simple,1201,0.0092575354,0.0126,0.0635351025,0.1169249898,0.2200920511,0.763850825,12.6802048694,-0.3065,0.5875
NoDur,log,1201,0.0083526294,0.0103462921,0.0455784997,0.1049667798,0.1578885544,-0.5674835951,5.5102503434,-0.2872821524,0.2944590567
Durbl,log,1201,0.0083465823,0.0097522914,0.0804892241,0.1048872638,0.2788228512,-0.0744985218,6.3899675316,-0.4286313861,0.5866193172
Manuf,log,1201,0.0083668331,0.01350835,0.0611759476,0.1051535695,0.211919699,-0.1748282684,7.5518666809,-0.356960699,0.457931048
Enrgy,log,1201,0.0083251571,0.0090588445,0.063890537,0.1046055792,0.2213233123,-0.3759321426,4.7435239638,-0.4226621329,0.3318903271
HiTec,log,1201,0.0090984046,0.0133110141,0.0712965476,0.1148135394,0.2469784857,-0.5173601065,4.8523163476,-0.4149095669,0.417459553
Telcm,log,1201,0.007031942,0.0090588445,0.0465197839,0.0877246076,0.1611492587,-0.3690346074,2.7477401658,-0.244622583,0.2481873218
Shops,log,1201,0.0086697732,0.0114343776,0.0579669306,0.1091443684,0.2008033378,-0.6842869075,6.3224798227,-0.3624056186,0.353820875
Hlth,log,1201,0.0091248456,0.0108410232,0.0549910657,0.1151641222,0.1904946395,-0.6431424081,7.6361800869,-0.4272507002,0.3158321159
Utils,log,1201,0.0073475367,0.0105442139,0.0544273289,0.0918222618,0.1885417981,-0.638725865,7.5146717503,-0.3526829227,0.3615132206
Other,log,1201,0.0072476487,0.0125212806,0.0628666532,0.0905237969,0.217776475,-0.3037304672,8.121127355,-0.3660040392,0.4621604518
NoDur,excess_simple,1201,0.0067246461,0.008,0.045596249,0.0837482546,0.1579500399,-0.0677656755,5.5824877908,-0.25,0.3414
Durbl,excess_simple,1201,0.0089535387,0.0071,0.0825409934,0.1128945473,0.2859303885,1.0766944118,10.7792591509,-0.3489,0.7969
Manuf,excess_simple,1201,0.0075849292,0.0112,0.0622051804,0.0949138665,0.2154850658,0.8302189503,11.7150954143,-0.3005,0.5798
Enrgy,excess_simple,1201,0.0077030808,0.0068,0.0642757234,0.0964555635,0.2226576372,0.2441541287,4.1878037895,-0.3459,0.3926
HiTec,excess_simple,1201,0.0089775187,0.0105,0.0715285828,0.1132119936,0.2477822793,0.2250625868,5.7077347616,-0.3399,0.5171
Telcm,excess_simple,1201,0.0054383847,0.0071,0.0465896927,0.0672484569,0.1613914298,-0.0394298676,2.7445669973,-0.2173,0.2814
Shops,excess_simple,1201,0.0076806828,0.0089,0.0578827238,0.096163151,0.2005116369,-0.0036977032,5.9040673684,-0.3043,0.4235
Hlth,excess_simple,1201,0.0079751873,0.0081,0.0550224945,0.10001371,0.1906035121,0.0931781154,6.6021240075,-0.3483,0.3704
Utils,excess_simple,1201,0.0061499584,0.0081,0.0543297985,0.0763476395,0.1882039426,0.1442443824,7.5153815169,-0.3018,0.4352
Other,excess_simple,1201,0.0065555371,0.0098,0.0636069127,0.0815657023,0.2203408089,0.795000069,12.7718789845,-0.3071,0.5872
