date,RF_simple,RF_log,Mkt_simple,Mkt_log,Mkt_excess_simple,Mkt_excess_log,SMB_simple,SMB_log,HML_simple,HML_log
1926-07-01,0.0022,0.0021975835,0.0311,0.0306261935,0.0289,0.02842861,-0.0242,-0.0244976316,-0.0275,-0.0278852035
1926-08-01,0.0025,0.0024968802,0.0289,0.0284902704,0.0264,0.0259933902,-0.0144,-0.0145046862,0.0413,0.0404699326
1926-09-01,0.0023,0.002297359,0.0061,0.0060814703,0.0038,0.0037841113,-0.0136,-0.0136933271,0.0005,0.000499875
1926-10-01,0.0032,0.0031948909,-0.0295,-0.0299438764,-0.0327,-0.0331387673,-0.0018,-0.0018016219,0.0078,0.0077697373
1926-11-01,0.0031,0.0030952049,0.0285,0.0281014301,0.0254,0.0250062252,-0.0017,-0.0017014466,-0.0048,-0.004811557
1926-12-01,0.0028,0.0027960873,0.029,0.0285874569,0.0262,0.0257913695,-0.0006,-0.0006001801,0.001,0.0009995003
1927-01-01,0.0025,0.0024968802,0.002,0.0019980027,-0.0005,-0.0004988775,-0.0047,-0.0047110797,0.0476,0.0465018337
1927-02-01,0.0026,0.0025966258,0.0443,0.0433468045,0.0417,0.0407501787,-0.0023,-0.0023026491,0.0304,0.0299470764
1927-03-01,0.003,0.002995509,0.0044,0.0043903483,0.0014,0.0013948393,-0.0201,-0.0203047533,-0.0232,-0.0234733562
1927-04-01,0.0025,0.0024968802,0.0072,0.0071742037,0.0047,0.0046773235,0.0054,0.0053854723,0.0062,0.0061808591
1927-05-01,0.003,0.002995509,0.0575,0.0559076319,0.0545,0.052912123,0.0149,0.0147900855,0.0504,0.049171044
1927-06-01,0.0026,0.0025966258,-0.0212,-0.0214279474,-0.0238,-0.0240245733,0.0042,0.0041912046,-0.0153,-0.0154182527
1927-07-01,0.003,0.002995509,0.0756,0.0728786454,0.0726,0.0698831364,-0.0327,-0.0332465938,-0.0113,-0.0113643301
1927-08-01,0.0028,0.0027960873,0.0227,0.0224461888,0.0199,0.0196501015,-0.0077,-0.0077297981,-0.0385,-0.039260714
1927-09-01,0.0021,0.0020977981,0.0498,0.0485996698,0.0477,0.0465018718,-0.036,-0.0366639844,-0.0057,-0.005716307
1927-10-01,0.0025,0.0024968802,-0.0404,-0.041238748,-0.0429,-0.0437356282,0.0203,0.0200967017,-0.0447,-0.0457298517
1927-11-01,0.0021,0.0020977981,0.0673,0.0651320949,0.0652,0.0630342969,0.0278,0.0274205956,-0.0008,-0.0008003202
1927-12-01,0.0022,0.0021975835,0.0231,0.0228372339,0.0209,0.0206396504,0.0098,0.0097522914,-0.0112,-0.0112631923
1928-01-01,0.0025,0.0024968802,-0.0032,-0.0032051309,-0.0057,-0.0057020111,0.042,0.0411419433,-0.0071,-0.0071253249
1928-02-01,0.0033,0.0032945669,-0.0136,-0.0136933271,-0.0169,-0.0169878941,-0.0206,-0.0208151397,-0.0064,-0.0064205678
1928-03-01,0.0029,0.0028958031,0.0908,0.086911372,0.0879,0.0840155689,-0.0038,-0.0038072383,-0.0111,-0.0111620647
1928-04-01,0.0022,0.0021975835,0.0447,0.0437297629,0.0425,0.0415321793,0.0414,0.0405659617,0.0325,0.0319830459
1928-05-01,0.0032,0.0031948909,0.0184,0.0182327683,0.0152,0.0150378774,0.027,0.0266419309,-0.03,-0.0304592075
1928-06-01,0.0031,0.0030952049,-0.0459,-0.0469867912,-0.049,-0.0500819961,-0.0376,-0.0383251143,0.0028,0.0027960873
1928-07-01,0.0032,0.0031948909,0.0095,0.0094551588,0.0063,0.0062602679,-0.0136,-0.0136933271,-0.0054,-0.0054146327
1928-08-01,0.0032,0.0031948909,0.0701,0.0677521021,0.0669,0.0645572112,-0.0204,-0.0206109539,-0.0213,-0.0215301186
1928-09-01,0.0027,0.0026963615,0.0314,0.0309171026,0.0287,0.0282207411,0.024,0.0237165266,0.0084,0.0083649163
1928-10-01,0.0041,0.0040916179,0.0172,0.0170537546,0.0131,0.0129621367,0.0224,0.0221528046,-0.0214,-0.0216323001
1928-11-01,0.0038,0.0037927982,0.122,0.1151128071,0.1182,0.1113200089,-0.0182,-0.0183676574,0.0265,0.0261549575
1928-12-01,0.0006,0.0005998201,0.0046,0.0045894523,0.004,0.0039896323,-0.0093,-0.009343515,-0.0052,-0.0052135671
1929-01-01,0.0034,0.0033942331,0.05,0.0487901642,0.0466,0.0453959311,-0.0335,-0.0340739803,-0.0122,-0.0122750309
1929-02-01,0.0036,0.0035935355,0.0002,0.00019998,-0.0034,-0.0033935555,-0.0033,-0.003305457,0.0166,0.016463726
1929-03-01,0.0034,0.0033942331,-0.0051,-0.0051130494,-0.0085,-0.0085072825,-0.0491,-0.0503463744,0.0157,0.01557803
1929-04-01,0.0036,0.0035935355,0.0183,0.0181345702,0.0147,0.0145410347,-0.0112,-0.0112631923,0.0093,0.0092570213
1929-05-01,0.0044,0.0043903483,-0.0594,-0.0612373095,-0.0638,-0.0656276578,-0.0544,-0.0559356323,-0.0152,-0.0153167041
1929-06-01,0.0052,0.0051865267,0.1022,0.0973081825,0.097,0.0921216558,-0.0214,-0.0216323001,-0.0274,-0.027782381
1929-07-01,0.0033,0.0032945669,0.0481,0.0469790012,0.0448,0.0436844342,-0.0387,-0.0394687439,0.0267,0.0263497753
1929-08-01,0.004,0.0039920213,0.0854,0.0819485826,0.0814,0.0779565614,-0.0975,-0.1025865888,0.0032,0.0031948909
1929-09-01,0.0035,0.0034938893,-0.051,-0.0523464804,-0.0545,-0.0558403696,0.0134,0.0133110141,-0.0079,-0.0079313703
1929-10-01,0.0046,0.0045894523,-0.1961,-0.2182803956,-0.2007,-0.222869848,-0.0495,-0.0507671171,0.0754,0.0726926854
1929-11-01,0.0037,0.0036931718,-0.125,-0.1335313926,-0.1287,-0.1372245645,-0.0088,-0.0088389487,0.0505,0.0492662413
1929-12-01,0.0037,0.0036931718,0.0165,0.0163653541,0.0128,0.0126721822,-0.041,-0.0418642041,-0.0014,-0.0014009809
1930-01-01,0.0014,0.0013990209,0.0575,0.0559076319,0.0561,0.054508611,0.0349,0.0343048037,-0.0103,-0.0103534121
1930-02-01,0.003,0.002995509,0.028,0.027615167,0.025,0.0246196581,0.0028,0.0027960873,0.0028,0.0027960873
1930-03-01,0.0035,0.0034938893,0.0744,0.0717623662,0.0709,0.068268477,0.0339,0.0333380596,0.003,0.002995509
1930-04-01,0.0021,0.0020977981,-0.0184,-0.0185713856,-0.0205,-0.0206691837,-0.0035,-0.0035061393,-0.0037,-0.0037068619
1930-05-01,0.0026,0.0025966258,-0.014,-0.0140989244,-0.0166,-0.0166955502,-0.021,-0.0212236365,-0.0074,-0.0074275158
1930-06-01,0.0027,0.0026963615,-0.1581,-0.1720940366,-0.1608,-0.1747903982,-0.0359,-0.0365602553,0.024,0.0237165266
1930-07-01,0.002,0.0019980027,0.0432,0.0422929122,0.0412,0.0402949095,-0.0027,-0.0027036516,-0.017,-0.0171461588
